age,job,marital,education,default,housing,loan,contact,month,day_of_week,duration,campaign,pdays,previous,poutcome,emp.var.rate,cons.price.idx,cons.conf.idx,euribor3m,nr.employed,y
45,admin.,married,university.degree,no,yes,no,cellular,aug,fri,518,1,999,0,nonexistent,-0.1,93.313,-42.9,4.927,5099.1,yes
38,admin.,married,basic.4y,no,no,no,cellular,aug,fri,111,2,999,0,nonexistent,1.1,91.058,-46.9,3.432,4963.6,yes
47,management,married,high.school,no,yes,no,cellular,feb,fri,11,2,999,0,nonexistent,-1.7,91.12,-42.0,1.228,5191.0,no
58,retired,married,university.degree,no,yes,no,telephone,nov,mon,467,1,999,0,nonexistent,-0.1,92.41,-38.7,4.767,5191.0,yes
37,admin.,single,high.school,no,no,no,cellular,oct,tue,605,1,999,0,nonexistent,-1.8,92.906,-37.9,2.565,5017.5,no
37,student,married,professional.course,unknown,yes,no,cellular,may,wed,429,3,999,0,nonexistent,-3.4,95.333,-42.9,3.067,5099.1,yes
58,admin.,married,university.degree,no,no,no,cellular,sep,fri,34,1,999,0,nonexistent,-3.4,91.683,-36.3,1.446,5099.1,no
49,services,married,high.school,no,no,no,telephone,may,wed,1543,6,4,2,nonexistent,-1.8,92.26,-52.4,2.907,5099.1,yes
34,retired,divorced,basic.9y,unknown,yes,no,cellular,mar,thu,74,3,999,0,nonexistent,-0.1,95.387,-30.4,1.297,5076.2,yes
46,housemaid,married,high.school,no,no,no,telephone,may,mon,322,1,999,0,nonexistent,-3.4,94.596,-39.2,2.69,4963.6,yes
34,retired,married,high.school,no,yes,no,telephone,may,tue,596,3,11,1,failure,-1.8,91.329,-44.2,3.055,4963.6,no
34,self-employed,single,basic.4y,no,yes,no,cellular,may,thu,67,1,999,0,nonexistent,1.1,94.013,-39.7,4.09,5017.5,no
42,blue-collar,married,high.school,unknown,no,no,telephone,jun,mon,597,3,999,0,nonexistent,1.1,94.249,-42.8,0.6,5008.7,yes
18,self-employed,married,high.school,no,no,no,cellular,jul,tue,92,2,999,0,nonexistent,1.1,93.294,-52.4,4.805,5017.5,no
19,admin.,married,university.degree,no,yes,no,telephone,jul,tue,936,2,999,0,nonexistent,1.4,91.24,-41.8,4.862,4963.6,yes
33,student,single,university.degree,unknown,no,no,cellular,may,tue,82,1,999,0,nonexistent,-1.8,92.107,-37.4,2.66,5076.2,yes
27,services,married,university.degree,no,no,no,cellular,feb,thu,766,5,999,0,nonexistent,-1.8,92.058,-37.2,3.232,5017.5,yes
43,self-employed,single,basic.4y,unknown,unknown,no,cellular,aug,tue,13,2,24,1,success,-1.7,93.793,-40.7,3.552,5008.7,no
29,technician,divorced,basic.9y,unknown,yes,no,cellular,jun,wed,308,1,999,0,nonexistent,1.4,92.356,-37.2,3.15,5191.0,no
23,management,married,university.degree,no,yes,yes,telephone,may,mon,189,3,999,0,nonexistent,1.1,92.603,-39.8,4.086,5017.5,no
57,services,married,high.school,no,yes,no,cellular,nov,fri,162,2,999,0,nonexistent,-1.7,92.097,-40.9,2.303,5099.1,no
37,retired,married,basic.4y,no,no,no,telephone,sep,tue,63,4,999,0,nonexistent,-3.4,90.662,-45.4,1.632,5008.7,yes
40,admin.,married,university.degree,no,yes,no,cellular,nov,thu,305,2,999,0,nonexistent,1.1,96.893,-43.7,3.771,5099.1,no
22,admin.,married,university.degree,no,no,no,telephone,jul,thu,52,4,999,0,nonexistent,-1.7,93.604,-43.3,0.6,5076.2,no
33,blue-collar,divorced,university.degree,no,yes,no,cellular,may,tue,201,5,999,0,nonexistent,-0.1,95.208,-40.6,4.114,4963.6,no
41,admin.,single,basic.4y,unknown,yes,no,cellular,aug,fri,73,1,11,1,success,1.4,91.327,-38.0,4.301,5017.5,no
26,housemaid,single,university.degree,no,yes,no,cellular,may,thu,778,4,999,0,nonexistent,-0.1,95.278,-45.1,1.592,5017.5,no
44,blue-collar,married,university.degree,no,unknown,no,telephone,jul,wed,7,1,999,0,nonexistent,1.4,92.405,-49.0,5.1,5099.1,no
32,unemployed,single,university.degree,yes,yes,no,cellular,mar,mon,55,3,999,0,nonexistent,-1.7,93.795,-34.8,2.368,5099.1,yes
36,blue-collar,divorced,university.degree,unknown,no,no,cellular,nov,fri,69,2,999,0,nonexistent,1.1,94.488,-46.8,2.213,4963.6,yes
32,blue-collar,single,university.degree,no,yes,yes,cellular,may,thu,133,4,999,0,nonexistent,1.4,95.266,-39.5,1.824,5017.5,yes
